Unit Name,Market Rent,Default Deposit,Sqft,Bedrooms,Bathrooms,Tags,Revenue,Description
5302-207,"1,680.00",500.00,734,1,1.00,Vulcan,Yes,
5302-208,"1,415.00",500.00,501,0,1.00,Spock,Yes,"Our luxury apartment homes offer studio, 1, 2 and 3 bedrooms in Madison with carefree living at its finest. Apartments feature a GE stainless steel appliance package, granite countertops, ceramic tile flooring, a patio or balcony, in unit washer and dryer, walk-in closets, central heating and air, large windows and contemporary lighting. Tyberius Terrace amenities feature underground parking, elevator, controlled building access and extra storage."
5302-209,"1,680.00",500.00,734,1,1.00,Vulcan,Yes,
5302-210,"2,330.00",500.00,"1,220",2,2.00,Voyager,Yes,
5302-211,"2,310.00",500.00,"1,195",2,2.00,Klingon,Yes,"Our luxury apartment homes offer studio, 1, 2 and 3 bedrooms in Madison with carefree living at its finest. Apartments feature a GE stainless steel appliance package, granite countertops, ceramic tile flooring, a patio or balcony, in unit washer and dryer, walk-in closets, central heating and air, large windows and contemporary lighting. Tyberius Terrace amenities feature underground parking, elevator, controlled building access and extra storage."
5302-301,"2,930.00",500.00,"1,851",3,3.00,Federation,Yes,
5302-302,"2,765.00",500.00,"1,528",3,2.00,Federation,Yes,
5302-304,"2,250.00",500.00,"1,315",2,2.00,Galaxy,Yes,
5302-305,"1,795.00",500.00,774,1,1.50,Borg,Yes,
5302-306,"2,135.00",500.00,"1,166",2,2.00,Galaxy,Yes,"Our luxury apartment homes offer studio, 1, 2 and 3 bedrooms in Madison with carefree living at its finest. Apartments feature a GE stainless steel appliance package, granite countertops, ceramic tile flooring, a patio or balcony, in unit washer and dryer, walk-in closets, central heating and air, large windows and contemporary lighting. Tyberius Terrace amenities feature underground parking, elevator, controlled building access and extra storage."
5302-307,"2,135.00",500.00,"1,118",2,2.00,Galaxy,Yes,"Our luxury apartment homes offer studio, 1, 2 and 3 bedrooms in Madison with carefree living at its finest. Apartments feature a GE stainless steel appliance package, granite countertops, ceramic tile flooring, a patio or balcony, in unit washer and dryer, walk-in closets, central heating and air, large windows and contemporary lighting. Tyberius Terrace amenities feature underground parking, elevator, controlled building access and extra storage."
5302-308,"1,855.00",500.00,813,2,1.50,Enterprise,Yes,"Our luxury apartment homes offer studio, 1, 2 and 3 bedrooms in Madison with carefree living at its finest. Apartments feature a GE stainless steel appliance package, granite countertops, ceramic tile flooring, a patio or balcony, in unit washer and dryer, walk-in closets, central heating and air, large windows and contemporary lighting. Tyberius Terrace amenities feature underground parking, elevator, controlled building access and extra storage."
5302-309,"2,135.00",500.00,"1,118",2,2.00,Galaxy,Yes,
5302-310,"2,900.00",500.00,"1,847",3,2.00,Federation,Yes,
5302-311,"2,765.00",500.00,"1,563",3,2.00,Federation,Yes,
5314-101,"2,280.00",500.00,"1,105",2,2.00,Tribble,Yes,"Our luxury apartment homes offer studio, 1, 2 and 3 bedrooms in Madison with carefree living at its finest. Apartments feature a GE stainless steel appliance package, granite countertops, ceramic tile flooring, a patio or balcony, in unit washer and dryer, walk-in closets, central heating and air, large windows and contemporary lighting. Tyberius Terrace amenities feature underground parking, elevator, controlled building access and extra storage."
5314-102,"2,285.00",500.00,"1,071",2,2.00,Warp Speed,Yes,"Our luxury apartment homes offer studio, 1, 2 and 3 bedrooms in Madison with carefree living at its finest. Apartments feature a GE stainless steel appliance package, granite countertops, ceramic tile flooring, a patio or balcony, in unit washer and dryer, walk-in closets, central heating and air, large windows and contemporary lighting. Tyberius Terrace amenities feature underground parking, elevator, controlled building access and extra storage."
5314-103,"1,405.00",500.00,518,0,1.00,Spock,Yes,
5314-104,"1,645.00",500.00,648,1,1.00,Vulcan,Yes,
5314-105,"1,690.00",500.00,757,1,1.00,Vulcan,Yes,
5314-106,"1,670.00",500.00,739,1,1.00,Vulcan,Yes,
5314-107,"1,745.00",500.00,861,1,1.00,Vulcan,Yes,"Our luxury apartment homes offer studio, 1, 2 and 3 bedrooms in Madison with carefree living at its finest. Apartments feature a GE stainless steel appliance package, granite countertops, ceramic tile flooring, a patio or balcony, in unit washer and dryer, walk-in closets, central heating and air, large windows and contemporary lighting. Tyberius Terrace amenities feature underground parking, elevator, controlled building access and extra storage."
